TIME;PLC_HMI_CONF(Bitset16);W1_ETH_PLC_LifeB(Unsigned8);TSW_ETBA_DirTrainOpSTS(Unsigned8);TSW_ETBA_LifeWord(Unsigned32)
84,992;0;174;2;1422
85,120;0;174;2;1422
85,248;0;175;2;1422
85,376;0;175;2;1427
85,504;0;175;2;1427
85,632;0;175;2;1427
85,760;0;175;2;1427
85,888;0;175;2;1432
86,016;0;175;2;1432
86,144;0;175;2;1432
86,272;0;176;2;1432
86,400;0;176;2;1436
86,528;0;176;2;1436
86,656;0;176;2;1436
86,784;0;176;2;1436
86,912;0;176;2;1441
87,040;0;176;2;1441
87,168;0;176;2;1441
87,296;0;177;2;1441
87,424;0;177;2;1446
87,552;0;177;2;1446
87,680;0;177;2;1446
87,808;0;177;2;1446
87,936;0;177;2;1451
88,064;0;177;2;1451
88,192;0;177;2;1451
88,320;0;178;2;1451
88,448;0;178;2;1456
88,576;0;178;2;1456
88,704;0;178;2;1456
88,832;0;178;2;1456
88,960;0;178;2;1461
89,088;0;178;2;1461
89,216;0;178;2;1461
89,344;0;179;2;1461
89,472;0;179;2;1466
89,600;0;179;2;1466
89,728;0;179;2;1466
89,856;0;179;2;1466
89,984;0;179;2;1471
90,112;0;179;2;1471
90,240;0;179;2;1471
90,368;0;180;2;1471
90,496;0;180;2;1476
90,624;0;180;2;1476
90,752;0;180;2;1476
90,880;0;180;2;1476
91,008;0;180;2;1481
91,136;0;180;2;1481
91,264;0;180;2;1481
91,392;0;181;2;1481
91,520;0;181;2;1486
91,648;0;181;2;1486
91,776;0;181;2;1486
91,904;0;181;2;1486
92,032;0;181;2;1491
92,160;0;181;2;1491
92,288;0;181;2;1491
92,416;0;182;2;1491
92,544;0;182;2;1496
92,672;0;182;2;1496
92,800;0;182;2;1496
92,928;0;182;2;1496
93,056;0;182;2;1501
93,184;0;182;2;1501
93,312;0;182;2;1501
93,440;0;183;2;1501
93,568;0;183;2;1506
93,696;0;183;2;1506
93,824;0;183;2;1506
93,952;0;183;2;1506
94,080;0;183;2;1511
94,208;0;183;2;1511
94,336;0;183;2;1511
94,464;0;184;2;1511
94,592;0;184;2;1516
94,720;0;184;2;1516
94,848;0;184;2;1516
94,976;0;184;2;1516
95,104;0;184;2;1521
95,232;0;184;2;1521
95,360;0;184;2;1521
95,488;0;185;2;1521
95,616;0;185;2;1526
95,744;0;185;2;1526
95,872;0;185;2;1526
96,000;0;185;2;1526
96,128;0;185;2;1530
96,256;0;185;2;1530
96,384;0;185;2;1530
96,512;0;186;2;1530
96,640;0;186;2;1535
96,768;0;186;2;1535
96,896;0;186;2;1535
97,024;0;186;2;1535
97,152;0;186;2;1540
97,280;0;186;2;1540
97,408;0;186;2;1540
97,536;0;187;2;1540
97,664;0;187;2;1545
97,792;0;187;2;1545
97,920;0;187;2;1545
98,048;0;187;2;1545
98,176;0;187;2;1550
98,304;0;187;2;1550
98,432;0;187;2;1550
98,560;0;188;2;1550
98,688;0;188;2;1555
98,816;0;188;2;1555
98,944;0;188;2;1555
99,072;0;188;2;1555
99,200;0;188;2;1560
99,328;0;188;2;1560
99,456;0;188;2;1560
99,584;0;189;2;1560
99,712;0;189;2;1565
99,840;0;189;2;1565
99,968;0;189;2;1565
100,096;0;189;2;1565
100,224;0;189;2;1570
100,352;0;189;2;1570
100,480;0;189;2;1570
100,608;0;190;2;1570
100,736;0;190;2;1575
100,864;0;190;2;1575
100,992;0;190;2;1575
101,120;0;190;2;1575
101,248;0;190;2;1580
101,376;0;190;2;1580
101,504;0;190;2;1580
101,632;0;191;2;1580
101,760;0;191;2;1585
101,888;0;191;2;1585
102,016;0;191;2;1585
102,144;0;191;2;1585
102,272;0;191;2;1590
102,400;0;191;2;1590
102,528;0;191;2;1590
102,656;0;192;2;1590
102,784;0;192;2;1595
102,912;0;192;2;1595
103,040;0;192;2;1595
103,168;0;192;2;1595
103,296;0;192;2;1600
103,424;0;192;2;1600
103,552;0;192;2;1600
103,680;0;193;2;1600
103,808;0;193;2;1605
103,936;0;193;2;1605
104,064;0;193;2;1605
104,192;0;193;2;1605
104,320;0;193;2;1610
104,448;0;193;2;1610
104,576;0;193;2;1610
104,704;0;194;2;1610
104,832;0;194;2;1615
104,960;0;194;2;1615
105,088;0;194;2;1615
105,216;0;194;2;1615
105,344;0;194;2;1620
105,472;0;194;2;1620
105,600;0;194;2;1620
105,728;0;195;2;1620
105,856;0;195;2;1625
105,984;0;195;2;1625
106,112;0;195;2;1625
106,240;0;195;2;1625
106,368;0;195;2;1630
106,496;0;195;2;1630
106,624;0;195;2;1630
106,752;0;196;2;1630
106,880;0;196;2;1635
107,008;0;196;2;1635
107,136;0;196;2;1635
107,264;0;196;2;1635
107,392;0;196;2;1640
107,520;0;196;2;1640
107,648;0;196;2;1640
107,776;0;197;2;1640
107,904;0;197;2;1644
108,032;0;197;2;1644
108,160;0;197;2;1644
108,288;0;197;2;1644
108,416;0;197;2;1650
108,544;0;197;2;1650
108,672;0;197;2;1650
108,800;0;198;2;1650
108,928;0;198;2;1654
109,056;0;198;2;1654
109,184;0;198;2;1654
109,312;0;198;2;1654
109,440;0;198;2;1659
109,568;0;198;2;1659
109,696;0;198;2;1659
109,824;0;199;2;1659
109,952;0;199;2;1664
110,080;0;199;2;1664
110,208;0;199;2;1664
110,336;0;199;2;1664
110,464;0;199;2;1669
110,592;0;199;2;1669
110,720;0;199;2;1669
110,848;0;200;2;1669
110,976;0;200;2;1674
111,104;0;200;2;1674
111,232;0;200;2;1674
111,360;0;200;2;1674
111,488;0;200;2;1679
111,616;0;200;2;1679
111,744;0;200;2;1679
111,872;0;201;2;1679
112,000;0;201;2;1684
112,128;0;201;2;1684
112,256;0;201;2;1684
112,384;0;201;2;1684
112,512;0;201;2;1689
112,640;0;201;2;1689
112,768;0;201;2;1689
112,896;0;202;2;1689
113,024;0;202;2;1694
113,152;0;202;2;1694
113,280;0;202;2;1694
113,408;0;202;2;1694
113,536;0;202;2;1699
113,664;0;202;2;1699
113,792;0;202;2;1699
113,920;0;203;2;1699
114,048;0;203;2;1704
114,176;0;203;2;1704
114,304;0;203;2;1704
114,432;0;203;2;1704
114,560;0;203;2;1709
114,688;0;203;2;1709
114,816;0;203;2;1709
114,944;0;204;2;1709
115,072;0;204;2;1714
115,200;0;204;2;1714
115,328;0;204;2;1714
115,456;0;204;2;1714
115,584;0;204;2;1719
115,712;0;204;2;1719
115,840;0;204;2;1719
115,968;0;205;2;1719
116,096;0;205;2;1724
116,224;0;205;2;1724
116,352;0;205;2;1724
116,480;0;205;2;1724
116,608;0;205;2;1728
116,736;0;205;2;1728
116,864;0;205;2;1728
116,992;0;206;2;1728
117,120;0;206;2;1733
117,248;0;206;2;1733
117,376;0;206;2;1733
117,504;0;206;2;1733
117,632;0;206;2;1738
117,760;0;206;2;1738
117,888;0;206;2;1738
118,016;0;207;2;1738
118,144;0;207;2;1743
118,272;0;207;2;1743
118,400;0;207;2;1743
118,528;0;207;2;1743
118,656;0;207;2;1748
118,784;0;207;2;1748
118,912;0;207;2;1748
119,040;0;208;2;1748
119,168;0;208;2;1753
119,296;0;208;2;1753
119,424;0;208;2;1753
119,552;0;208;2;1753
119,680;0;208;2;1757
119,808;0;208;2;1757
119,936;0;208;2;1757
120,064;0;209;2;1757
120,192;0;209;2;1762
120,320;0;209;2;1762
120,448;0;209;2;1762
120,576;0;209;2;1762
120,704;0;209;2;1767
120,832;0;209;2;1767
120,960;0;209;2;1767
121,088;0;210;2;1767
121,216;0;210;2;1772
121,344;0;210;2;1772
121,472;0;210;2;1772
121,600;0;210;2;1772
121,728;0;210;2;1777
121,856;0;210;2;1777
121,984;0;210;2;1777
122,112;0;211;2;1777
122,240;0;211;2;1782
122,368;0;211;2;1782
122,496;0;211;2;1782
122,624;0;211;2;1782
122,752;0;211;2;1787
122,880;0;211;2;1787
123,008;0;211;2;1787
123,136;0;212;2;1787
123,264;0;212;2;1792
123,392;0;212;2;1792
123,520;0;212;2;1792
123,648;0;212;2;1792
123,776;0;212;2;1797
123,904;0;212;2;1797
124,032;0;212;2;1797
124,160;0;213;2;1797
124,288;0;213;2;1802
124,416;0;213;2;1802
124,544;0;213;2;1802
124,672;0;213;2;1802
124,800;0;213;2;1807
124,928;0;213;2;1807
125,056;0;213;2;1807
125,184;0;214;2;1807
125,312;0;214;2;1812
125,440;0;214;2;1812
125,568;0;214;2;1812
125,696;0;214;2;1812
125,824;0;214;2;1817
125,952;0;214;2;1817
126,080;0;214;2;1817
126,208;0;215;2;1817
126,336;0;215;2;1822
126,464;0;215;2;1822
126,592;0;215;2;1822
126,720;0;215;2;1822
126,848;0;215;2;1827
126,976;0;215;2;1827
127,104;0;215;2;1827
127,232;0;216;2;1827
127,360;0;216;2;1832
127,488;0;216;2;1832
127,616;0;216;2;1832
127,744;0;216;2;1832
127,872;0;216;2;1837
128,000;0;216;2;1837
128,128;0;216;2;1837
128,256;0;217;2;1837
128,384;0;217;2;1842
128,512;0;217;2;1842
128,640;0;217;2;1842
128,768;0;217;2;1842
128,896;0;217;2;1847
129,024;0;217;2;1847
129,152;0;217;2;1847
129,280;0;218;2;1847
129,408;0;218;2;1852
129,536;0;218;2;1852
129,664;0;218;2;1852
129,792;0;218;2;1852
129,920;0;218;2;1857
130,048;0;218;2;1857
130,176;0;218;2;1857
130,304;0;219;2;1857
130,432;0;219;2;1862
130,560;0;219;2;1862
130,688;0;219;2;1862
130,816;0;219;2;1862
130,944;0;219;2;1867
131,072;0;219;2;1867
131,200;0;219;2;1867
131,328;0;220;2;1867
131,456;0;220;2;1872
131,584;0;220;2;1872
131,712;0;220;2;1872
131,840;0;220;2;1872
131,968;0;220;2;1877
132,096;0;220;2;1877
132,224;0;220;2;1877
132,352;0;221;2;1877
132,480;0;221;2;1882
132,608;0;221;2;1882
132,736;0;221;2;1882
132,864;0;221;2;1882
132,992;0;221;2;1887
133,120;0;221;2;1887
133,248;0;221;2;1887
133,376;0;222;2;1887
133,504;0;222;2;1892
133,632;0;222;2;1892
133,760;0;222;2;1892
133,888;0;222;2;1892
134,016;0;222;2;1897
134,144;0;222;2;1897
134,272;0;222;2;1897
134,400;0;223;2;1897
134,528;0;223;2;1902
134,656;0;223;2;1902
134,784;0;223;2;1902
134,912;0;223;2;1902
135,040;0;223;2;1907
135,168;0;223;2;1907
135,296;0;223;2;1907
135,424;0;224;2;1907
135,552;0;224;2;1911
135,680;0;224;2;1911
135,808;0;224;2;1911
135,936;0;224;2;1911
136,064;0;224;2;1916
136,192;0;224;2;1916
136,320;0;224;2;1916
136,448;0;225;2;1916
136,576;0;225;2;1921
136,704;0;225;2;1921
136,832;0;225;2;1921
136,960;0;225;2;1921
137,088;0;225;2;1926
